month,trades,total_pnl,avg_return_pct,win_rate,winners,losers,cumulative_pnl,cumulative_return_pct
2024-08,2,-12906.903630731504,-9.219216879093931,0.0,0,2,-12906.903630731504,-1.29
2024-09,1,1248.189372153117,29.610519480519475,100.0,1,0,-11658.714258578388,-1.17
2024-10,4,25114.347439437195,18.383984443951082,75.0,3,1,13455.633180858807,1.35
2024-11,4,35200.56142862741,18.749394985003946,75.0,3,1,48656.194609486214,4.87
2024-12,2,5405.645277515747,15.203901528335926,100.0,2,0,54061.83988700196,5.41
2025-01,2,1275.8319960915032,11.463925047854257,50.0,1,1,55337.67188309346,5.53
2025-02,3,-42991.19003809705,-18.423623139592795,33.33333333333333,1,2,12346.481844996415,1.23
2025-03,2,8854.072717677911,6.324337655484221,50.0,1,1,21200.554562674326,2.12
2025-04,2,-6071.288214181972,-4.3366344387014095,50.0,1,1,15129.266348492354,1.51
2025-05,6,29620.65457995138,0.16839046398288993,50.0,3,3,44749.92092844374,4.47
2025-06,7,85548.80769671683,12.50564050103478,85.71428571428571,6,1,130298.72862516057,13.03
2025-07,10,78970.97680490417,18.75126483662865,80.0,8,2,209269.70543006476,20.93
2025-08,7,42832.32207349177,9.4511888269583,57.14285714285714,4,3,252102.0275035565,25.21
2025-09,9,58492.426237343185,14.881211176478088,88.88888888888889,8,1,310594.4537408997,31.06
2025-10,5,67462.55325688102,23.592589775488594,100.0,5,0,378057.0069977807,37.81
2025-11,9,178915.62628425297,31.696496362179136,77.77777777777779,7,2,556972.6332820337,55.7
2025-12,13,30507.18561018931,8.089863109232043,69.23076923076923,9,4,587479.8188922231,58.75
2026-01,11,178447.59824741218,29.449758692239584,90.9090909090909,10,1,765927.4171396352,76.59
2026-02,6,-23181.850163766794,-15.418951901424132,16.666666666666664,1,5,742745.5669758684,74.27
2026-03,3,-13272.962876626425,-11.44372206707363,33.33333333333333,1,2,729472.604099242,72.95
