window_id,train_start,train_end,pred_start,pred_end,train_samples,pos_rate,pred_samples,signals
3,2023-06-25,2024-02-24,2024-03-25,2024-04-22,314,0.01592356687898089,35,0
4,2023-07-22,2024-03-23,2024-04-22,2024-05-20,316,0.05063291139240506,86,0
5,2023-08-20,2024-04-20,2024-05-20,2024-06-17,311,0.08360128617363344,104,2
6,2023-09-17,2024-05-18,2024-06-17,2024-07-15,368,0.10054347826086957,65,0
7,2023-10-15,2024-06-15,2024-07-15,2024-08-12,446,0.10089686098654709,33,0
8,2023-11-12,2024-07-13,2024-08-12,2024-09-09,470,0.12127659574468085,215,5
9,2023-12-09,2024-08-10,2024-09-09,2024-10-07,457,0.13129102844638948,58,4
10,2024-01-07,2024-09-07,2024-10-07,2024-11-04,638,0.14420062695924765,26,2
11,2024-02-04,2024-10-05,2024-11-04,2024-12-02,661,0.14674735249621784,71,5
12,2024-03-02,2024-11-02,2024-12-02,2024-12-30,645,0.14573643410852713,48,1
13,2024-03-30,2024-11-30,2024-12-30,2025-01-27,686,0.1457725947521866,42,1
14,2024-04-27,2024-12-28,2025-01-27,2025-02-24,695,0.12949640287769784,75,1
15,2024-05-24,2025-01-25,2025-02-24,2025-03-24,613,0.15823817292006526,93,4
16,2024-06-24,2025-02-22,2025-03-24,2025-04-21,607,0.171334431630972,63,4
17,2024-07-21,2025-03-22,2025-04-21,2025-05-19,651,0.14592933947772657,74,8
18,2024-08-19,2025-04-19,2025-05-19,2025-06-16,533,0.19887429643527205,89,9
19,2024-09-16,2025-05-17,2025-06-16,2025-07-14,541,0.20147874306839186,92,9
20,2024-10-14,2025-06-14,2025-07-14,2025-08-11,571,0.2329246935201401,93,5
21,2024-11-11,2025-07-12,2025-08-11,2025-09-08,633,0.24960505529225907,114,7
22,2024-12-08,2025-08-09,2025-09-08,2025-10-06,665,0.26766917293233083,163,9
23,2025-01-06,2025-09-06,2025-10-06,2025-11-03,729,0.289437585733882,122,9
24,2025-02-03,2025-10-04,2025-11-03,2025-12-01,832,0.32572115384615385,152,18
25,2025-03-01,2025-11-01,2025-12-01,2025-12-29,879,0.33560864618885095,239,17
26,2025-03-29,2025-11-29,2025-12-29,2026-01-01,946,0.3763213530655391,44,5
