strategy,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,avg_return_per_trade,avg_holding_days
B3_TP35_no_SL,200.1894,74.4525,0.9393,39.6383,1.878,55.303,2.2753,396,14.1133,37.64
B4_TP50_no_SL,185.1358,69.9675,0.8145,46.2017,1.514,54.27,2.4117,363,15.9255,40.53
B2_TP25_no_SL,180.1038,68.4424,0.8068,48.8088,1.402,58.5678,2.1634,391,13.7762,33.76
G4_grace3_ATR2x_TP50,157.2348,61.9829,0.7182,32.1176,1.93,39.8533,1.9164,409,8.9485,26.31
E4_ATR2x_TP35,104.6332,44.8017,0.7836,22.5162,1.99,41.3712,1.6127,423,4.7995,23.39
C1_grace3_SL10_TP25,75.8708,33.7847,1.1094,25.2622,1.337,40.0922,1.4621,434,6.2446,17.46
C3_grace3_SL15_TP35,75.1134,33.1637,0.9965,29.017,1.143,45.4315,1.4591,394,7.2781,25.54
C4_grace5_SL10_TP35,59.5028,26.9568,0.8692,23.0089,1.172,38.1773,1.3935,406,6.1935,22.06
C2_grace3_SL10_TP35,59.3533,26.896,0.8575,25.0429,1.074,36.8932,1.3896,412,6.4429,20.71
G2_grace3_trail20_horizon,56.6027,25.4524,0.7498,45.1106,0.564,43.3437,1.4317,323,8.0314,29.74
C5_grace5_SL15_TP50,46.8279,21.6617,0.691,43.6227,0.497,43.7681,1.324,345,6.9886,28.54
F1_SL15_TP35,45.2703,21.0335,0.8273,28.5352,0.737,45.4774,1.281,398,3.0436,25.04
A_baseline_TP25_SL5,31.9289,15.5205,0.9771,17.5442,0.885,24.3678,1.2989,435,1.1527,9.26
F4_SL15_TP50,31.182,14.8612,0.6014,37.8955,0.392,44.2529,1.2211,348,3.2425,27.77
G3_grace5_ATR2.5x_horizon,24.9986,11.5683,0.465,49.8352,0.232,44.4068,1.1912,295,6.4548,33.78
D2_trail20_horizon,19.4094,9.382,0.4363,44.7751,0.21,42.1569,1.1532,306,1.8267,29.39
B1_horizon_only,19.0291,8.9218,0.4008,55.1052,0.162,48.4127,1.1752,252,8.8345,43.85
F2_SL20_TP50,16.7781,8.2399,0.4058,38.3102,0.215,45.4545,1.1217,319,1.9774,31.24
D4_trail10_TP50,16.29,8.0087,0.4482,29.2072,0.274,37.4707,1.1362,427,1.3596,14.09
D3_trail25_horizon,13.1771,6.2609,0.3519,48.6257,0.129,43.9446,1.1086,289,2.2643,34.65
E5_ATR2.5x_TP50,9.9509,5.0121,0.3088,44.2161,0.113,44.3038,1.0723,316,2.2115,29.53
D5_trail15_TP50,7.8941,3.9549,0.2768,35.0948,0.113,40.7609,1.0577,368,1.9653,22.34
C6_grace3_SL10_TP50,6.6585,3.3455,0.2579,37.9933,0.088,34.3575,1.0485,358,1.7636,22.8
G1_grace3_trail15_TP50,4.4159,2.2304,0.2192,35.7793,0.062,41.0615,1.0326,358,1.4443,22.78
D1_trail15_horizon,1.8291,0.9231,0.1779,38.4058,0.024,42.0,1.0146,350,1.03,23.42
F3_SL25_TP50,0.8269,0.4213,0.1728,45.0272,0.009,49.1039,1.0071,279,1.914,34.88
E2_ATR2.5x_horizon,-11.3053,-5.9811,0.0096,49.9252,-0.12,43.2727,0.91,275,0.1079,32.76
E3_ATR3x_horizon,-14.3471,-7.6528,-0.0291,52.8621,-0.145,43.3962,0.8868,265,0.1844,34.26
E1_ATR2x_horizon,-15.9084,-8.5335,-0.0558,46.3691,-0.184,38.3838,0.8689,297,0.1701,29.21
