take_profit_pct,stop_loss_pct,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,avg_return_per_trade,avg_holding_days,exposure_pct
0.2,0.08,42.8743,13.7269,1.2199,39.2726,34.2569,1.1924,397,1.0787,13.21,100.0
0.2,0.1,36.6111,11.9038,0.9455,59.9584,38.2872,1.1396,397,0.9202,15.62,100.0
0.2,0.05,17.2729,5.9124,0.6107,29.4757,24.0,1.1041,400,0.4311,8.61,100.0
0.15,0.08,17.0489,5.8566,0.5614,32.5688,38.4422,1.0819,398,0.4266,10.98,100.0
0.1,0.08,11.7038,4.1434,0.4541,28.6547,47.25,1.0659,400,0.2917,8.03,100.0
0.15,0.1,9.9453,3.4874,0.2957,53.1817,42.6065,1.0411,399,0.2473,12.82,100.0
0.2,0.03,9.3208,3.265,0.4437,21.864,16.0401,1.0856,399,0.2333,5.58,100.0
0.05,0.08,7.6224,2.9162,0.4333,17.3748,61.1529,1.0658,399,0.1902,3.89,100.0
0.1,0.05,5.31,1.9159,0.2621,27.7938,36.5915,1.0398,399,0.133,4.94,100.0
0.08,0.08,4.0172,1.4573,0.1713,30.3129,51.2563,1.0249,398,0.1001,6.9,100.0
0.1,0.03,1.8424,0.6719,0.1256,17.5991,25.8794,1.0199,398,0.0462,3.13,100.0
0.15,0.05,1.66,0.597,0.0672,27.6155,27.5,1.0107,400,0.0405,7.02,100.0
0.05,0.05,1.242,0.4842,0.0921,16.2056,50.1247,1.0133,401,0.0305,2.3,100.0
0.15,0.03,0.8252,0.2976,0.0454,15.8521,19.0476,1.0079,399,0.0203,4.46,100.0
0.05,0.1,-0.443,-0.1725,-0.0248,23.044,64.6617,0.9966,399,-0.012,4.99,100.0
0.08,0.05,-1.915,-0.7078,-0.1034,28.1745,40.3509,0.9847,399,-0.0481,4.13,100.0
0.08,0.03,-2.9334,-1.0877,-0.2226,19.4226,29.25,0.9667,400,-0.0735,2.52,100.0
0.1,0.1,-5.8459,-2.1854,-0.2096,44.2012,50.3759,0.9719,399,-0.148,9.6,100.0
0.05,0.03,-9.1805,-3.698,-0.9377,16.4793,36.6834,0.8727,398,-0.2314,1.3,80.4348
0.08,0.1,-15.464,-5.9846,-0.6021,46.4739,54.0,0.9189,400,-0.388,8.38,100.0
